Brand,Long_Records,Already_Blocked,Total_Records
"Barclays Bank, Limited",56,False,1029
Letters are welcome,50,True,56
Subscription Service,18,True,26
Planelectric,14,False,64
Hungarian Economic Review,14,False,19
Lonrho,13,False,38
Philips,13,False,669
Rediffusion,12,False,52
South African Reserve Bank,11,False,12
Tyco,11,False,31
Sun Alliance,11,False,23
Marine Midland Bank,11,False,98
Vickers Review,10,False,10
Cadbury,10,False,82
BMW,10,False,463
Commercial Union Assurance,9,False,145
Saab,9,False,172
B.A.A,9,False,40
IBM,9,False,1082
Bayerische Landesbank,9,False,100
De Beers,9,False,22
RTZ,9,False,72
Renold,9,False,14
Booktalk,9,False,23
Swissair,8,False,442
Scottish Widows' Fund,8,False,73
Shell,8,False,691
The Economist Shop,8,False,59
GEC,7,False,47
International Trade Fairs Made In Germany,7,False,82
Anglo American Corporation Of South Africa,7,False,27
Charter Consolidated Ltd,6,False,10
Jardines,6,False,35
Reed Paper Group,6,False,45
Australian Government,6,False,33
Phillips Petroleum,6,False,18
Ford,6,False,362
Unilever,6,False,30
The Standard Life Assurance Company,6,False,120
John Templeton Foundation,6,False,8
