Year_Quarter,Pos,Neg,Ads,Recession_Status
1948Q1,0.01876615974867247,0.0061997831465984594,340,Not Recession
1948Q2,0.01815834955916778,0.00676015664311186,385,Not Recession
1948Q3,0.02132504621319688,0.006402871915771426,389,Not Recession
1948Q4,0.023174581849936187,0.006851615503459394,479,Not Recession
1949Q1,0.021173577220151403,0.006782461668523998,464,Recession
1949Q2,0.020473396722638076,0.006433340076876391,474,Recession
1949Q3,0.022095835784794404,0.007539604715521562,472,Recession
1949Q4,0.02117748235209804,0.00847457627118644,621,Not Recession
1950Q1,0.020887831166532266,0.007552662116712232,517,Not Recession
1950Q2,0.02119721272198548,0.006236626003621267,573,Not Recession
1950Q3,0.01932914777351471,0.0070049994186722475,291,Not Recession
1950Q4,0.02097839830463199,0.006874076184709633,540,Not Recession
1951Q1,0.023314624067106642,0.006430025288348856,623,Not Recession
1951Q2,0.022776555246799557,0.005413045922546862,629,Not Recession
1951Q3,0.022187857190882808,0.006219323606535332,605,Not Recession
1951Q4,0.022521747189746713,0.0065274669985568076,743,Not Recession
1952Q1,0.02162982794084038,0.0069705181364066735,492,Not Recession
1952Q2,0.021071950059612318,0.006523865021634583,617,Not Recession
1952Q3,0.021614392337892058,0.007219178279189496,543,Not Recession
1952Q4,0.022258189985069197,0.00701371375515991,696,Not Recession
1953Q1,0.02144961377119507,0.006421308426440043,590,Not Recession
1953Q2,0.02041203321188151,0.006542144685692614,608,Not Recession
1953Q3,0.020772016334078127,0.006718545342476308,556,Recession
1953Q4,0.021018746449536073,0.006181984249863551,739,Recession
1954Q1,0.02050760401361313,0.0062288864609627145,605,Recession
1954Q2,0.02103980073135831,0.00641263447983465,751,Recession
1954Q3,0.020403390017060152,0.006287491057179021,549,Not Recession
1954Q4,0.02070782455446257,0.005439962594637366,813,Not Recession
1955Q1,0.021635548273036955,0.00644646630158251,654,Not Recession
1955Q2,0.02096095652815706,0.006442225572788714,687,Not Recession
1955Q3,0.021227664595675,0.006778885517507104,596,Not Recession
1955Q4,0.022389106013074186,0.006309258837343802,827,Not Recession
1956Q1,0.021956302232152447,0.006638451457666445,312,Not Recession
1956Q2,0.022653610687153807,0.0062250270094147105,826,Not Recession
1956Q3,0.02180047387157842,0.007048542070985486,592,Not Recession
1956Q4,0.022549365471343712,0.005835184637827633,775,Not Recession
1957Q1,0.02130232558139535,0.0069069767441860466,562,Not Recession
1957Q2,0.020435638095895613,0.006340110693039686,628,Not Recession
1957Q3,0.022018002870022757,0.0059429764165301715,517,Not Recession
1957Q4,0.022869491684675374,0.006426759372357418,761,Recession
1958Q1,0.02232867448151488,0.005849864743011722,644,Recession
1958Q2,0.021555828333467173,0.006080143170163705,628,Not Recession
1958Q3,0.02095530649796986,0.006964826107452972,493,Not Recession
1958Q4,0.021206653207796616,0.0068783163310882035,804,Not Recession
1959Q1,0.02109060944511876,0.005946349231094729,616,Not Recession
1959Q2,0.02124898062322686,0.005834855219783375,610,Not Recession
1959Q3,0.022084881482298986,0.006511422580289151,581,Not Recession
1959Q4,0.021330202504092073,0.006058840164882722,840,Not Recession
1960Q1,0.02041852076743912,0.005782075565746187,714,Not Recession
1960Q2,0.021433177148261186,0.005416326355156257,803,Recession
1960Q3,0.021636710906508642,0.005259807042460454,734,Recession
1960Q4,0.022321887970363257,0.005754124789901554,846,Recession
1961Q1,0.019822013559203266,0.006254051118546678,714,Recession
1961Q2,0.020700955121288413,0.005614834352395796,707,Not Recession
1961Q3,0.0207595205261483,0.005802482231887133,656,Not Recession
1961Q4,0.021864402563698624,0.006027842496704171,828,Not Recession
1962Q1,0.02142857142857143,0.005363915477695503,705,Not Recession
1962Q2,0.02055414704817095,0.00562396877137913,664,Not Recession
1962Q3,0.020534406652942924,0.005172007660716298,653,Not Recession
1962Q4,0.021436626972498245,0.00515935388194759,786,Not Recession
1963Q1,0.0215508152937869,0.005631501265111048,725,Not Recession
1963Q2,0.02129348863530783,0.005515528789708851,724,Not Recession
1963Q3,0.02110540766384147,0.004798854005013728,559,Not Recession
1963Q4,0.02162145654713279,0.005382460051457845,876,Not Recession
1964Q1,0.020068513226350112,0.005303363376566278,685,Not Recession
1964Q2,0.020105904080337047,0.004674785017602586,828,Not Recession
1964Q3,0.01862046780938376,0.006212949772528836,588,Not Recession
1964Q4,0.01973995357873062,0.005042310294898753,782,Not Recession
1965Q1,0.020318605768895884,0.00475749322597048,752,Not Recession
1965Q2,0.020610345326961307,0.0044564687915531155,854,Not Recession
1965Q3,0.019612462453619178,0.004349911234886793,705,Not Recession
1965Q4,0.020055525118652624,0.004739949153272719,966,Not Recession
1966Q1,0.017441974919778728,0.0043309644270330926,572,Not Recession
1966Q2,0.016922667730567192,0.004621317906775717,735,Not Recession
1966Q3,0.016445298406651956,0.004807732646434475,599,Not Recession
1966Q4,0.01636129702713068,0.0044228080810580096,798,Not Recession
1967Q1,0.015116996884002587,0.004600505614674584,602,Not Recession
1967Q2,0.016776794713853734,0.004099003247844103,706,Not Recession
1967Q3,0.016540274283284313,0.004908040681810128,621,Not Recession
1967Q4,0.01562445916664936,0.0047143361508587564,753,Not Recession
1968Q1,0.016420609702498038,0.00490672891943886,614,Not Recession
1968Q2,0.014789402211263037,0.004381841473002469,760,Not Recession
1968Q3,0.015258235054900366,0.003920292801952013,611,Not Recession
1968Q4,0.016325027617527924,0.004876306950690159,844,Not Recession
1969Q1,0.01622651376489485,0.004572111613312913,655,Not Recession
1969Q2,0.016541927798207904,0.004816905785466411,662,Not Recession
1969Q3,0.016214551477871465,0.005593520838362231,575,Not Recession
1969Q4,0.016163861142330375,0.004735506194042101,791,Not Recession
1970Q1,0.01568889638967142,0.004693037687104856,634,Recession
1970Q2,0.015525618883131836,0.004527345998848589,804,Recession
1970Q3,0.01555552597246998,0.00458611784126308,691,Recession
1970Q4,0.01515749542260084,0.0045773991601705975,870,Recession
1971Q1,0.013392749171644859,0.004794785595085496,653,Not Recession
1971Q2,0.0166621309618913,0.006167095363924467,826,Not Recession
1971Q3,0.016909642340621586,0.005595865040184047,626,Not Recession
1971Q4,0.016829865361077112,0.00505423542818554,811,Not Recession
1972Q1,0.01621459197707074,0.004848197672402834,831,Not Recession
1972Q2,0.01729252156791187,0.006148923620099215,958,Not Recession
1972Q3,0.015683354206862312,0.005088627875751729,798,Not Recession
1972Q4,0.01687481302321808,0.004730829492386559,941,Not Recession
1973Q1,0.017303957894964597,0.004733030058797757,859,Not Recession
1973Q2,0.01756817755124052,0.0060358154342711285,1022,Not Recession
1973Q3,0.01750312810729289,0.005885123530503209,863,Not Recession
1973Q4,0.01768268680217578,0.004473232178643,996,Not Recession
1974Q1,0.017432321575061527,0.00407828430798078,858,Recession
1974Q2,0.01812750387884121,0.005553111178009865,894,Recession
1974Q3,0.018481687515213403,0.006132856795122212,716,Recession
1974Q4,0.018790513628198786,0.00571160804935829,955,Recession
1975Q1,0.018076050666462777,0.005638810306598364,756,Recession
1975Q2,0.01768361502545298,0.006303534381424711,879,Not Recession
1975Q3,0.01712923765104317,0.005863093344557062,855,Not Recession
1975Q4,0.01766657887806163,0.00474058467210956,848,Not Recession
1976Q1,0.016496576387980286,0.0046393213834009335,860,Not Recession
1976Q2,0.017453379663278208,0.00515238104720278,824,Not Recession
1976Q3,0.016994402030253306,0.004875140476856273,797,Not Recession
1976Q4,0.018080367730445995,0.004527637995938062,1003,Not Recession
1977Q1,0.01806125802766054,0.004643131035418221,876,Not Recession
1977Q2,0.017460857726344453,0.005218969820739733,1124,Not Recession
1977Q3,0.018186487492203918,0.00544022305962757,745,Not Recession
1977Q4,0.01820522995440594,0.004745669374235712,1110,Not Recession
1978Q1,0.01879829497732236,0.004372795229296153,848,Not Recession
1978Q2,0.019717346268117473,0.0048044216052917825,1013,Not Recession
1978Q3,0.01776463873003565,0.00490021862513866,782,Not Recession
1978Q4,0.01940349921080097,0.004622084205222595,888,Not Recession
1979Q1,0.018599691979623266,0.004388517742076717,904,Not Recession
1979Q2,0.01993911085161398,0.005242305446659438,1007,Not Recession
1979Q3,0.018445120147655612,0.004466345641911478,721,Not Recession
1979Q4,0.020966315975598976,0.004411634691892848,1012,Not Recession
1980Q1,0.01894351124508343,0.00442631584845191,818,Recession
1980Q2,0.019853262968206976,0.004937572403140687,801,Recession
1980Q3,0.01916309719934102,0.004889621087314663,647,Not Recession
1980Q4,0.020118779956003828,0.003996561888436194,975,Not Recession
1981Q1,0.018553843023551553,0.00436186988147922,731,Not Recession
1981Q2,0.01832607987683927,0.00545242818091206,858,Not Recession
1981Q3,0.01888652912621359,0.005353711569579288,676,Recession
1981Q4,0.019237566760118726,0.004086711891653714,970,Recession
1982Q1,0.019104941138996908,0.004154113634252193,662,Recession
1982Q2,0.020282731826054393,0.0053222861957590226,871,Recession
1982Q3,0.021027205887920526,0.004777877895310713,625,Recession
1982Q4,0.02170540394696269,0.004495259019426457,922,Recession
1983Q1,0.02099085252485188,0.004654304767098837,729,Not Recession
1983Q2,0.020646869203479263,0.005357560914116948,912,Not Recession
1983Q3,0.020845520845520847,0.004342004342004342,683,Not Recession
1983Q4,0.022596238354719633,0.004697662155036034,1027,Not Recession
1984Q1,0.021118293809133836,0.005384119461239567,793,Not Recession
1984Q2,0.021425105804474293,0.005630095067902213,876,Not Recession
1984Q3,0.021057278034405366,0.005023407337407599,708,Not Recession
1984Q4,0.02192366233462124,0.004600359052413847,938,Not Recession
1985Q1,0.02081306507893269,0.005577823611057063,712,Not Recession
1985Q2,0.02228950309817582,0.005604931037102147,856,Not Recession
1985Q3,0.020846182311582584,0.00505735783890465,640,Not Recession
1985Q4,0.02049941284647597,0.004635189329315579,1034,Not Recession
1986Q1,0.022169446843325304,0.004965683378028271,728,Not Recession
1986Q2,0.023399602385685885,0.004965208747514911,880,Not Recession
1986Q3,0.023317483540599853,0.005479432783748804,667,Not Recession
1986Q4,0.021424560919630808,0.004875934554122874,886,Not Recession
1987Q1,0.021780707455203788,0.004567821000835577,727,Not Recession
1987Q2,0.022301400280962523,0.005234059908460598,807,Not Recession
1987Q3,0.02096819153219562,0.0047619785052807635,617,Not Recession
1987Q4,0.022058482138711685,0.005014346602780177,1001,Not Recession
1988Q1,0.022870302230568174,0.004523308041718476,754,Not Recession
1988Q2,0.023741299303944315,0.005017401392111369,837,Not Recession
1988Q3,0.022593083002306776,0.00521314779190713,601,Not Recession
1988Q4,0.02506573571186356,0.0050865265416622655,890,Not Recession
1989Q1,0.023439065643812776,0.004665368059062597,617,Not Recession
1989Q2,0.023449181284417052,0.004692267483558829,827,Not Recession
1989Q3,0.02210424217673184,0.004696513349328705,662,Not Recession
1989Q4,0.02152301311063418,0.005031859174663894,865,Not Recession
1990Q1,0.02347471732767032,0.004577282901911266,659,Not Recession
1990Q2,0.022975661333239795,0.004429767637640998,945,Not Recession
1990Q3,0.024316943945622654,0.005209183597750107,672,Recession
1990Q4,0.023978475548459582,0.005162320383182544,859,Recession
1991Q1,0.02297335690384494,0.005429635709325083,558,Recession
1991Q2,0.02323635961394873,0.005095268383064628,711,Not Recession
1991Q3,0.0237271135300453,0.005228844145914349,553,Not Recession
1991Q4,0.023693346087292972,0.004422686284836044,910,Not Recession
1992Q1,0.02328331495597424,0.005041788516547613,622,Not Recession
1992Q2,0.023989489975884532,0.00547697032957804,822,Not Recession
1992Q3,0.022316775910629538,0.005124848192522028,546,Not Recession
1992Q4,0.023813538135962743,0.005610367261036145,860,Not Recession
1993Q1,0.022480469095998157,0.005465110099381743,588,Not Recession
1993Q2,0.023370301739635477,0.0058564040158198966,703,Not Recession
1993Q3,0.023058155347572194,0.00501959843212543,515,Not Recession
1993Q4,0.02290770916500599,0.004709696849308924,850,Not Recession
1994Q1,0.02367932531982629,0.004636746213743921,537,Not Recession
1994Q2,0.023865303757043686,0.00498144289219615,717,Not Recession
1994Q3,0.02139655206461423,0.005578704160824661,439,Not Recession
1994Q4,0.02268548654173376,0.005121792456062215,846,Not Recession
1995Q1,0.024018330415419495,0.004856914649003203,588,Not Recession
1995Q2,0.024331779076640178,0.005798909831220857,752,Not Recession
1995Q3,0.023663445854757114,0.006176672710863824,598,Not Recession
1995Q4,0.025125598818991825,0.004533811027021981,836,Not Recession
1996Q1,0.02373395368111738,0.00511410192414553,555,Not Recession
1996Q2,0.023368414497446754,0.005285527462946818,625,Not Recession
1996Q3,0.021676959423053012,0.005574667385087247,479,Not Recession
1996Q4,0.02539214426309346,0.004646884152569314,820,Not Recession
1997Q1,0.024389054588896925,0.004981836208928296,630,Not Recession
1997Q2,0.024133047677838703,0.004887613929336577,702,Not Recession
1997Q3,0.023877428584613964,0.005574784254003415,534,Not Recession
1997Q4,0.0239143754308034,0.0045314135457353655,887,Not Recession
1998Q1,0.025045590802006776,0.004836929723637559,621,Not Recession
1998Q2,0.023620998001192273,0.005196900094680366,719,Not Recession
1998Q3,0.02556578234975636,0.0059989171629669736,477,Not Recession
1998Q4,0.023299946455006458,0.004669438407508898,808,Not Recession
1999Q1,0.024556273629709646,0.005494198498873224,553,Not Recession
1999Q2,0.024676322217685853,0.004975399796555279,787,Not Recession
1999Q3,0.023137096857529633,0.005125502474915005,513,Not Recession
1999Q4,0.022809632460459302,0.00548872233563855,856,Not Recession
2000Q1,0.023003045665521703,0.0049723165546030415,575,Not Recession
2000Q2,0.022173416213500174,0.005300224489630524,745,Not Recession
2000Q3,0.02250986660514629,0.00440804488790383,694,Not Recession
2000Q4,0.024620966696902943,0.0051761622968050335,955,Not Recession
2001Q1,0.02422421246128407,0.006051856266315251,648,Not Recession
2001Q2,0.023569541457059102,0.005501067641417248,617,Recession
2001Q3,0.022960337257304567,0.00650591513135822,372,Recession
2001Q4,0.02721904802361887,0.005862237420615535,531,Recession
2002Q1,0.026451041790532058,0.006355120430192767,407,Not Recession
2002Q2,0.023857008063132613,0.006937296277234517,446,Not Recession
2002Q3,0.024838085966549035,0.008896821211752457,323,Not Recession
2002Q4,0.02645912596995594,0.007065789321522325,500,Not Recession
2003Q1,0.028347602607174373,0.0067966125311575915,342,Not Recession
2003Q2,0.025224063447030758,0.007286091946611645,393,Not Recession
2003Q3,0.022823802595417605,0.008626897697044516,306,Not Recession
2003Q4,0.02495913491764114,0.007380862567584559,481,Not Recession
2004Q1,0.02642236464435969,0.0046003224157590535,308,Not Recession
2004Q2,0.025935477592331273,0.005482296076427749,338,Not Recession
2004Q3,0.027405865954690016,0.006851466488672504,284,Not Recession
2004Q4,0.026607850299232953,0.0053103312635216764,463,Not Recession
2005Q1,0.02576613593562746,0.007327512412258175,290,Not Recession
2005Q2,0.027978883861236804,0.006881598793363499,332,Not Recession
2005Q3,0.027056329205416084,0.0058786681443646705,282,Not Recession
2005Q4,0.027957137919115107,0.006263394400276529,480,Not Recession
2006Q1,0.030209991660980973,0.00568569479190357,299,Not Recession
2006Q2,0.026868668704669425,0.005065036264460828,382,Not Recession
2006Q3,0.025816723432556078,0.006449142465587779,300,Not Recession
2006Q4,0.0272423579495063,0.006370838999586117,457,Not Recession
2007Q1,0.028082765733439333,0.004984852065920371,314,Not Recession
2007Q2,0.026992596145199485,0.006010011690297053,411,Not Recession
2007Q3,0.02691242432412559,0.00629917399936273,270,Not Recession
2007Q4,0.030106441412686865,0.006784341087572928,454,Not Recession
2008Q1,0.029203643613902028,0.004965010360060988,337,Recession
2008Q2,0.029785117070274262,0.006692022531413991,428,Recession
2008Q3,0.02901540757648918,0.005113910715069576,319,Recession
2008Q4,0.027595684738541883,0.00830069401497973,481,Recession
2009Q1,0.028712688046955558,0.007799487084578166,245,Recession
2009Q2,0.027754772674184025,0.007708479327259986,261,Recession
2009Q3,0.028573303152576845,0.006823475379719844,192,Not Recession
2009Q4,0.026751318552320488,0.0060843542813683186,370,Not Recession
2010Q1,0.029639005352952035,0.004588244600901827,245,Not Recession
2010Q2,0.028576724643949458,0.005591769903302543,271,Not Recession
2010Q3,0.02986524600438734,0.006549670949545597,199,Not Recession
2010Q4,0.025962842170838066,0.004855436256367035,420,Not Recession
2011Q1,0.024271621931635696,0.008878183069511356,258,Not Recession
2011Q2,0.02602594265964313,0.007433009223594079,299,Not Recession
2011Q3,0.02594764182482127,0.007920588386565858,189,Not Recession
2011Q4,0.025115296993943437,0.00689003722842696,355,Not Recession
2012Q1,0.025745800952619705,0.009049887189771873,208,Not Recession
2012Q2,0.0287461145220541,0.008477406427415419,216,Not Recession
2012Q3,0.026532596458909017,0.0077525330058335895,187,Not Recession
2012Q4,0.0265096024563023,0.008769641387891072,279,Not Recession
2013Q1,0.026397515527950312,0.00953416149068323,175,Not Recession
2013Q2,0.027755125815470644,0.008329450139794968,229,Not Recession
2013Q3,0.02562775045301579,0.009103460177754768,141,Not Recession
2013Q4,0.02872382820882254,0.006897397382054505,210,Not Recession
2014Q1,0.025622775800711744,0.008947635993899338,153,Not Recession
2014Q2,0.027237121415971538,0.008640535773014022,183,Not Recession
2014Q3,0.027875196517112105,0.007800217680493409,152,Not Recession
2014Q4,0.028804278619635807,0.007589456258754616,259,Not Recession
