Kiran_ID,row_id,DateOfIssue,Brand,token_count,Hand_Label,Is_Non_Ad,Reason,is_non_advertiser,is_multipage,too_short,any_flag,is_non_advertiser_ci,any_flag_revised,Outcome_any_flag,Outcome_any_flag_revised
4,3,2014-12-20,CFA Institute,84,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
6,5,2014-12-20,State Bank Of India,99,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
21,20,2014-12-20,Rolex,18,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
73,72,2014-11-29,Zenith,638,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
86,85,2014-11-22,Societe Generale,146,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
90,89,2014-11-22,Gatwick Obviously,278,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
98,97,2014-11-22,Vodafone,50,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
123,122,2014-11-15,Subscription service,499,0,True,Subscription Service,False,False,False,False,True,True,"Missed (non-ad, not flagged)","Correctly removed (non-ad, flagged)"
125,124,2014-11-15,Rolex,25,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
141,140,2014-11-08,CFA Institute,83,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
161,160,2014-11-01,Vodafone,72,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
176,175,2014-10-25,Gray & Farrar,25,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
183,182,2014-10-25,M.A.N,554,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
193,192,2014-10-18,Patek Philippe,43,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
194,193,2014-10-18,Asian Art in London,69,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
212,211,2014-10-18,M.A.N,120,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
234,233,2014-10-04,Santander,79,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
268,267,2014-09-27,Zurich,151,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
275,274,2014-09-20,Eurofinance,246,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
280,279,2014-09-20,Notice of a Judicial Instruction Proceeding in Connection …,2839,0,True,Legal notice,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
283,282,2014-09-20,Societe Generale,95,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
292,291,2014-09-20,Hitachi,93,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
299,298,2014-09-13,Lex Autolease,35,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
308,307,2014-09-13,Deutsche Bank,190,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
309,308,2014-09-13,Subscription service,471,0,True,Subscription Service,False,False,False,False,True,True,"Missed (non-ad, not flagged)","Correctly removed (non-ad, flagged)"
311,310,2014-09-06,Hiscox,38,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
322,321,2014-09-06,Taiwan,297,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
325,324,2014-09-06,Subscription service,485,0,True,Subscription Service,False,False,False,False,True,True,"Missed (non-ad, not flagged)","Correctly removed (non-ad, flagged)"
332,331,2014-08-30,Eurofinance,245,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
355,354,2014-08-09,Commerzbank,213,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
360,359,2014-08-09,London Business School,171,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
377,376,2014-07-19,Digital highlights,368,0,True,Subscription Page,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
386,385,2014-07-19,Ford,204,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
387,386,2014-07-19,Subscription service,510,0,True,Subscription Service,False,False,False,False,True,True,"Missed (non-ad, not flagged)","Correctly removed (non-ad, flagged)"
395,394,2014-07-12,"Think Asia, Invest Thailand",435,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
