Dictionary,Outcome,Recession_Definition,Model,Coefficient_macro,HAC_SE_macro,HAC_p_value_macro,CI_low_macro,CI_high_macro,Effect_pct_of_mean_macro,R_squared_macro,Durbin_Watson_macro,Outcome_mean_pp_macro,Coefficient_pooled,HAC_SE_pooled,HAC_p_value_pooled,CI_low_pooled,CI_high_pooled,Effect_pct_of_mean_pooled,R_squared_pooled,Durbin_Watson_pooled,Outcome_mean_pp_pooled,Same_sign,Significant_5pct_macro,Significant_5pct_pooled,Same_significance_verdict,Pct_change_macro_to_pooled
Harvard,Neg,Any month (48 quarters),A. Recession only,0.011324,0.02207,0.60832,-0.032131,0.054778,2.289758,0.002369,1.040686,0.494544,0.005002,0.026568,0.850817,-0.047309,0.057313,0.878455,0.000292,0.53665,0.569379,True,False,False,True,-55.830025
Harvard,Neg,Any month (48 quarters),B. + linear trend,0.003318,0.018603,0.858567,-0.033311,0.039947,0.670981,0.060626,1.101334,0.494544,0.011432,0.025528,0.654648,-0.038832,0.061696,2.007828,0.024029,0.551128,0.569379,True,False,False,True,244.519126
Harvard,Neg,Any month (48 quarters),C. + decade fixed effects,-0.001844,0.009266,0.84237,-0.02009,0.016401,-0.372954,0.460421,1.935487,0.494544,0.005237,0.013319,0.694496,-0.020991,0.031465,0.919788,0.589864,1.376089,0.569379,False,False,False,True,383.9422
Harvard,Neg,Any month (48 quarters),D. Trend + interaction: pre-1973,0.04171,0.036922,0.259644,-0.030991,0.11441,8.43399,0.129581,1.19676,0.494544,0.047487,0.046809,0.311288,-0.044682,0.139656,8.340117,0.134629,0.631432,0.569379,True,False,False,True,13.850822
Harvard,Neg,Any month (48 quarters),D. Trend + interaction: post-1973,-0.01526,0.01361,0.263204,-0.042057,0.011538,-3.085611,0.129581,1.19676,0.494544,0.002024,0.023364,0.931032,-0.04398,0.048028,0.355475,0.134629,0.631432,0.569379,False,False,False,True,113.263705
Harvard,Pos,Any month (48 quarters),A. Recession only,-0.02421,0.11287,0.830326,-0.246442,0.198022,-1.063387,0.000571,0.194525,2.276678,-0.055421,0.097048,0.568436,-0.246502,0.13566,-2.52617,0.00362,0.135341,2.193883,True,False,False,True,-128.919654
Harvard,Pos,Any month (48 quarters),B. + linear trend,0.053778,0.101228,0.595685,-0.145535,0.253091,2.36213,0.29197,0.269049,2.276678,0.033453,0.077488,0.666299,-0.119118,0.186023,1.524822,0.461717,0.24291,2.193883,True,False,False,True,-37.794735
Harvard,Pos,Any month (48 quarters),C. + decade fixed effects,0.018697,0.052781,0.723447,-0.085238,0.122632,0.821252,0.739923,0.793747,2.276678,0.010877,0.042992,0.800474,-0.073782,0.095535,0.495775,0.790006,0.671508,2.193883,True,False,False,True,-41.827193
Harvard,Pos,Any month (48 quarters),D. Trend + interaction: pre-1973,0.190469,0.177439,0.28406,-0.158913,0.539852,8.366114,0.351517,0.294299,2.276678,0.128791,0.138973,0.354913,-0.14485,0.402433,5.870477,0.495468,0.262316,2.193883,True,False,False,True,-32.382127
Harvard,Pos,Any month (48 quarters),D. Trend + interaction: post-1973,-0.006064,0.094164,0.948702,-0.191475,0.179347,-0.266355,0.351517,0.294299,2.276678,-0.008965,0.071302,0.900039,-0.14936,0.13143,-0.408637,0.495468,0.262316,2.193883,True,False,False,True,-47.838779
Loughran-McDonald,Neg,Any month (48 quarters),A. Recession only,0.033399,0.021361,0.119109,-0.008659,0.075458,7.068548,0.025401,0.950528,0.472506,0.024405,0.030788,0.428664,-0.036214,0.085025,4.122689,0.00582,0.596155,0.591978,True,False,False,True,-26.928422
Loughran-McDonald,Neg,Any month (48 quarters),B. + linear trend,0.034525,0.020743,0.097217,-0.006318,0.075367,7.306702,0.026819,0.952714,0.472506,0.04526,0.02674,0.091712,-0.007391,0.09791,7.645526,0.214937,0.762089,0.591978,True,False,False,True,31.094413
Loughran-McDonald,Neg,Any month (48 quarters),C. + decade fixed effects,0.020305,0.011314,0.073857,-0.001973,0.042583,4.297331,0.369121,1.507748,0.472506,0.034999,0.02135,0.102363,-0.007042,0.07704,5.912145,0.450914,1.141123,0.591978,True,False,False,True,72.363195
Loughran-McDonald,Neg,Any month (48 quarters),D. Trend + interaction: pre-1973,0.054738,0.041146,0.184552,-0.026278,0.135755,11.584714,0.068661,0.9969,0.472506,0.045171,0.037433,0.228631,-0.028536,0.118878,7.630503,0.251679,0.804912,0.591978,True,False,False,True,-17.478707
Loughran-McDonald,Neg,Any month (48 quarters),D. Trend + interaction: post-1973,0.026955,0.019571,0.169599,-0.011581,0.065491,5.704658,0.068661,0.9969,0.472506,0.056536,0.035486,0.11232,-0.013337,0.126409,9.550331,0.251679,0.804912,0.591978,True,False,False,True,109.742759
Loughran-McDonald,Pos,Any month (48 quarters),A. Recession only,-0.105819,0.082091,0.198499,-0.267449,0.055811,-8.381396,0.017756,0.193026,1.262548,-0.060837,0.0684,0.374575,-0.19551,0.073837,-4.950324,0.009098,0.196949,1.228946,True,False,False,True,42.508705
Loughran-McDonald,Pos,Any month (48 quarters),B. + linear trend,-0.011222,0.041107,0.785071,-0.09216,0.069716,-0.888834,0.715966,0.639259,1.262548,0.013109,0.035329,0.710889,-0.056452,0.08267,1.066695,0.670471,0.583372,1.228946,False,False,False,True,216.816533
Loughran-McDonald,Pos,Any month (48 quarters),C. + decade fixed effects,-0.019245,0.026225,0.46372,-0.070887,0.032397,-1.524281,0.839448,1.174494,1.262548,0.006905,0.028171,0.80655,-0.048568,0.062378,0.561904,0.787838,0.944016,1.228946,False,False,False,True,135.882414
Loughran-McDonald,Pos,Any month (48 quarters),D. Trend + interaction: pre-1973,0.023745,0.067762,0.726308,-0.10968,0.157169,1.880692,0.736474,0.690191,1.262548,0.025381,0.057186,0.657531,-0.087221,0.137983,2.06527,0.671052,0.584125,1.228946,True,False,False,True,6.891691
Loughran-McDonald,Pos,Any month (48 quarters),D. Trend + interaction: post-1973,-0.016661,0.039593,0.674231,-0.094621,0.061298,-1.319665,0.736474,0.690191,1.262548,0.006212,0.043802,0.887337,-0.080036,0.092459,0.50545,0.671052,0.584125,1.228946,False,False,False,True,137.281977
Harvard,Neg,Majority of months (42 quarters),A. Recession only,0.002109,0.018669,0.910156,-0.03465,0.038867,0.426391,7.4e-05,1.034057,0.494544,-0.001634,0.025838,0.949636,-0.052506,0.049239,-0.286898,2.8e-05,0.535556,0.569379,False,False,False,True,-177.466995
