Dictionary,Outcome,Aggregation,Recession_Definition,Model_Code,Model,N_Quarters,R_squared,Durbin_Watson,Variable,Coefficient,HAC_SE,HAC_p_value,CI_low,CI_high
Harvard,Pos,Average of ratios,Majority of months (42 quarters),A,A. Recession only,268,0.000742,0.19393,const,2.281243,0.050986,0.0,2.180855,2.38163
Harvard,Pos,Average of ratios,Majority of months (42 quarters),A,A. Recession only,268,0.000742,0.19393,Recession,-0.029125,0.120317,0.808911,-0.266021,0.20777
Harvard,Pos,Average of ratios,Majority of months (42 quarters),B,B. + linear time trend,268,0.289559,0.27041,const,1.91185,0.103541,0.0,1.707982,2.115718
Harvard,Pos,Average of ratios,Majority of months (42 quarters),B,B. + linear time trend,268,0.289559,0.27041,Recession,0.02006,0.098306,0.838465,-0.1735,0.213621
Harvard,Pos,Average of ratios,Majority of months (42 quarters),B,B. + linear time trend,268,0.289559,0.27041,Time_Trend,0.002709,0.000599,9e-06,0.001529,0.003889
Harvard,Pos,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.739795,0.795587,const,2.488215,0.079474,0.0,2.331717,2.644712
Harvard,Pos,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.739795,0.795587,Recession,0.014824,0.053315,0.781201,-0.090162,0.119809
Harvard,Pos,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.739795,0.795587,Decade_1950s,-0.18624,0.088875,0.037096,-0.361251,-0.01123
Harvard,Pos,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.739795,0.795587,Decade_1960s,-0.500641,0.109606,8e-06,-0.716474,-0.284809
Harvard,Pos,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.739795,0.795587,Decade_1970s,-0.717583,0.089592,0.0,-0.894006,-0.541161
Harvard,Pos,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.739795,0.795587,Decade_1980s,-0.298812,0.094637,0.00178,-0.485169,-0.112456
Harvard,Pos,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.739795,0.795587,Decade_1990s,-0.160438,0.082504,0.052905,-0.322902,0.002026
Harvard,Pos,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.739795,0.795587,Decade_2000s,0.212376,0.108664,0.051726,-0.001601,0.426353
Harvard,Pos,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.739795,0.795587,Decade_2010s,0.436961,0.08489,1e-06,0.269798,0.604125
Harvard,Pos,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.339135,0.291904,const,1.877623,0.102562,0.0,1.675676,2.079571
Harvard,Pos,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.339135,0.291904,Recession,0.08309,0.176555,0.638301,-0.26455,0.430731
Harvard,Pos,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.339135,0.291904,Time_Trend,0.004403,0.000998,1.5e-05,0.002438,0.006368
Harvard,Pos,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.339135,0.291904,Post1973,-0.310961,0.17209,0.07191,-0.64981,0.027888
Harvard,Pos,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.339135,0.291904,Recession_x_Post1973,-0.073814,0.198496,0.710293,-0.464658,0.31703
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,const,2.467359,0.077124,0.0,2.315484,2.619235
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,Recession,0.070438,0.057529,0.221926,-0.04285,0.183726
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,Decade_1950s,-0.173727,0.086758,0.046288,-0.344573,-0.002881
