Dictionary,Outcome,Aggregation,Recession_Definition,Model_Code,Model,N_Quarters,R_squared,Durbin_Watson,Effect,Coefficient,HAC_SE,HAC_p_value,CI_low,CI_high,Interaction_p_value,Outcome_mean_pp,Effect_pct_of_mean,Significant_5pct
Harvard,Pos,Average of ratios,Majority of months (42 quarters),A,A. Recession only,268,0.000742,0.19393,Recession (whole period),-0.029125,0.120317,0.808911,-0.266021,0.20777,,2.276678,-1.279292,False
Harvard,Pos,Average of ratios,Majority of months (42 quarters),B,B. + linear time trend,268,0.289559,0.27041,Recession (whole period),0.02006,0.098306,0.838465,-0.1735,0.213621,,2.276678,0.881113,False
Harvard,Pos,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.739795,0.795587,Recession (whole period),0.014824,0.053315,0.781201,-0.090162,0.119809,,2.276678,0.651115,False
Harvard,Pos,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.339135,0.291904,"Recession, pre-1973",0.08309,0.176555,0.638301,-0.26455,0.430731,0.710293,2.276678,3.649633,False
Harvard,Pos,Average of ratios,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.339135,0.291904,"Recession, post-1973",0.009277,0.096369,0.923387,-0.180477,0.19903,0.710293,2.276678,0.407461,False
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,"Recession, pre-1973",0.070438,0.057529,0.221926,-0.04285,0.183726,0.423268,2.276678,3.093885,False
Harvard,Pos,Average of ratios,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.752978,0.840805,"Recession, post-1973",-0.006131,0.076049,0.93581,-0.155889,0.143627,0.423268,2.276678,-0.269284,False
Harvard,Neg,Average of ratios,Majority of months (42 quarters),A,A. Recession only,268,7.4e-05,1.034057,Recession (whole period),0.002109,0.018669,0.910156,-0.03465,0.038867,,0.494544,0.426391,False
Harvard,Neg,Average of ratios,Majority of months (42 quarters),B,B. + linear time trend,268,0.060581,1.099566,Recession (whole period),-0.00306,0.016381,0.851968,-0.035313,0.029193,,0.494544,-0.618707,False
Harvard,Neg,Average of ratios,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.460381,1.936741,Recession (whole period),0.001045,0.008891,0.906524,-0.016462,0.018552,,0.494544,0.211309,False
