k,topic_seed1,topic_seed2,cosine_similarity,top10_overlap_words,top10_jaccard,stable,top_words_seed1,top_words_seed2
10,0,0,0.9791,9,0.8182,True,"year, million, investment, group, capital, profit, company, total, share, tax","year, investment, million, group, capital, profit, financial, share, total, tax"
10,1,9,0.9439,9,0.8182,True,"air, business, service, world, travel, class, new, fly, airlines, way","air, travel, world, service, business, new, class, london, fly, airlines"
10,2,2,0.4254,3,0.1765,False,"hotel, hotels, london, east, new, international, world, germany, telex, paris","hotel, car, new, hotels, road, cars, motor, sheraton, engine, fuel"
10,3,1,0.4001,1,0.0526,False,"new, london, los, engine, san, angeles, road, power, fuel, car","london, street, house, life, company, insurance, office, limited, service, telephone"
10,4,5,0.7519,4,0.25,False,"london, new, business, street, send, economic, address, information, free, available","international, new, economic, business, management, world, development, europe, information, research"
10,5,6,0.7139,6,0.4286,False,"world, new, company, systems, products, business, equipment, power, help, industry","products, new, world, company, industrial, industry, equipment, engineering, steel, oil"
10,6,3,0.6445,3,0.1765,False,"time, like, car, just, good, years, make, year, price, life","time, philips, computer, book, send, free, just, use, card, like"
10,7,8,0.6777,5,0.3333,False,"business, management, world, international, development, global, services, europe, oil, new","business, world, people, help, global, services, information, new, technology, make"
10,8,4,0.9137,10,1.0,True,"limited, bank, international, banque, securities, incorporated, corporation, company, morgan, brothers","limited, international, banque, securities, incorporated, corporation, bank, company, morgan, brothers"
10,9,7,0.9655,8,0.6667,True,"bank, london, office, new, banking, york, street, branches, japan, offices","bank, london, new, york, office, banking, international, branches, japan, tokyo"
20,0,12,0.623,3,0.1765,False,"bank, financial, international, investment, services, banking, global, management, finance, billion","bank, banking, new, london, york, japan, international, office, foreign, banks"
20,1,0,0.3416,4,0.25,False,"american, world, time, times, news, week, express, fair, best, day","business, class, express, best, travel, world, old, conference, canadian, day"
20,2,15,0.0516,0,0.0,False,"oil, energy, gas, chemicals, sheraton, metal, chemical, industries, electricity, imperial","europe, telex, germany, european, international, italy, spain, telephone, german, republic"
20,3,17,0.527,5,0.3333,False,"car, philips, new, cars, ibm, engine, power, drive, performance, road","car, oil, gas, fuel, cars, new, engine, road, british, gulf"
20,4,10,0.5922,5,0.3333,False,"service, cost, free, time, card, office, costs, available, insurance, pay","time, free, available, price, cost, details, dow, card, prices, send"
20,5,9,0.7229,6,0.4286,False,"air, hotel, travel, class, service, business, world, hotels, fly, new","air, world, fly, new, airlines, service, travel, airline, american, flight"
20,6,1,0.2512,2,0.1111,False,"send, london, address, life, tax, society, street, price, coupon, gulf","insurance, life, company, barclays, financial, united, assurance, investment, authority, society"
20,7,19,0.7789,9,0.8182,False,"management, university, executive, program, school, international, business, mba, education, experience","management, international, university, executive, business, program, school, development, education, mba"
20,8,13,0.4794,3,0.1765,False,"book, paper, books, dow, jones, press, english, lot, free, times","london, send, book, new, economic, address, post, street, times, free"
20,9,4,0.2953,1,0.0526,False,"limited, company, stock, capital, bank, shares, exchange, royal, london, shell","securities, incorporated, corporation, company, brothers, morgan, smith, lynch, merrill, boston"
20,10,18,0.9324,8,0.6667,True,"year, million, profit, group, share, total, profits, sales, tax, income","year, million, profit, group, share, tax, capital, total, income, investment"
20,11,3,0.6485,4,0.25,False,"business, information, computer, time, make, just, data, systems, like, know","systems, computer, philips, information, data, technology, new, communications, ibm, power"
20,12,11,0.7342,6,0.4286,False,"east, kong, hong, singapore, asia, germany, india, europe, london, middle","hong, kong, singapore, asia, india, china, francisco, swiss, san, east"
20,13,8,0.4491,3,0.1765,False,"years, life, old, good, gold, like, people, watch, world, conference","time, people, like, just, make, know, way, help, good, want"
20,14,7,0.937,5,0.3333,True,"limited, bank, international, banque, securities, incorporated, corporation, company, morgan, brothers","limited, bank, international, banque, union, deutsche, aktiengesellschaft, company, girozentrale, credit"
20,15,14,0.4721,3,0.1765,False,"bank, london, new, york, office, japan, branches, tokyo, telex, head","hotel, london, york, new, paris, hotels, city, frankfurt, sheraton, zurich"
20,16,2,0.5045,4,0.25,False,"new, development, economic, market, international, world, europe, trade, business, industry","industrial, development, new, trade, industry, big, export, fair, centre, labour"
20,17,5,0.833,7,0.5385,True,"equipment, world, engineering, steel, power, products, new, company, industry, plant","products, engineering, production, steel, equipment, industry, power, plant, industrial, energy"
20,18,16,0.8392,5,0.3333,True,"london, street, house, south, manchester, british, office, road, telephone, birmingham","london, street, office, australia, limited, canada, new, south, house, head"
20,19,6,0.7443,5,0.3333,False,"business, world, technology, new, people, future, help, company, solutions, companies","business, world, services, companies, global, company, market, new, countries, international"
