k,seed,topic,mean_share_in_sample,top_words
10,1,0,0.08636,"year, million, investment, group, capital, profit, company, total, share, tax"
10,1,1,0.10268,"air, business, service, world, travel, class, new, fly, airlines, way"
10,1,2,0.06282,"hotel, hotels, london, east, new, international, world, germany, telex, paris"
10,1,3,0.05906,"new, london, los, engine, san, angeles, road, power, fuel, car"
10,1,4,0.11831,"london, new, business, street, send, economic, address, information, free, available"
10,1,5,0.16448,"world, new, company, systems, products, business, equipment, power, help, industry"
10,1,6,0.13048,"time, like, car, just, good, years, make, year, price, life"
10,1,7,0.11025,"business, management, world, international, development, global, services, europe, oil, new"
10,1,8,0.04104,"limited, bank, international, banque, securities, incorporated, corporation, company, morgan, brothers"
10,1,9,0.12453,"bank, london, office, new, banking, york, street, branches, japan, offices"
10,2,0,0.08642,"year, investment, million, group, capital, profit, financial, share, total, tax"
10,2,1,0.08834,"london, street, house, life, company, insurance, office, limited, service, telephone"
10,2,2,0.06184,"hotel, car, new, hotels, road, cars, motor, sheraton, engine, fuel"
10,2,3,0.10633,"time, philips, computer, book, send, free, just, use, card, like"
10,2,4,0.03741,"limited, international, banque, securities, incorporated, corporation, bank, company, morgan, brothers"
10,2,5,0.1077,"international, new, economic, business, management, world, development, europe, information, research"
10,2,6,0.10772,"products, new, world, company, industrial, industry, equipment, engineering, steel, oil"
10,2,7,0.13721,"bank, london, new, york, office, banking, international, branches, japan, tokyo"
10,2,8,0.15612,"business, world, people, help, global, services, information, new, technology, make"
10,2,9,0.11092,"air, travel, world, service, business, new, class, london, fly, airlines"
20,1,0,0.0652,"bank, financial, international, investment, services, banking, global, management, finance, billion"
20,1,1,0.03347,"american, world, time, times, news, week, express, fair, best, day"
20,1,2,0.02326,"oil, energy, gas, chemicals, sheraton, metal, chemical, industries, electricity, imperial"
20,1,3,0.03267,"car, philips, new, cars, ibm, engine, power, drive, performance, road"
20,1,4,0.03187,"service, cost, free, time, card, office, costs, available, insurance, pay"
20,1,5,0.07143,"air, hotel, travel, class, service, business, world, hotels, fly, new"
20,1,6,0.03686,"send, london, address, life, tax, society, street, price, coupon, gulf"
20,1,7,0.0319,"management, university, executive, program, school, international, business, mba, education, experience"
20,1,8,0.03369,"book, paper, books, dow, jones, press, english, lot, free, times"
20,1,9,0.03235,"limited, company, stock, capital, bank, shares, exchange, royal, london, shell"
20,1,10,0.04073,"year, million, profit, group, share, total, profits, sales, tax, income"
20,1,11,0.07411,"business, information, computer, time, make, just, data, systems, like, know"
20,1,12,0.03021,"east, kong, hong, singapore, asia, germany, india, europe, london, middle"
20,1,13,0.05026,"years, life, old, good, gold, like, people, watch, world, conference"
20,1,14,0.03574,"limited, bank, international, banque, securities, incorporated, corporation, company, morgan, brothers"
20,1,15,0.09717,"bank, london, new, york, office, japan, branches, tokyo, telex, head"
20,1,16,0.07603,"new, development, economic, market, international, world, europe, trade, business, industry"
20,1,17,0.09003,"equipment, world, engineering, steel, power, products, new, company, industry, plant"
20,1,18,0.04914,"london, street, house, south, manchester, british, office, road, telephone, birmingham"
20,1,19,0.06386,"business, world, technology, new, people, future, help, company, solutions, companies"
20,2,0,0.04264,"business, class, express, best, travel, world, old, conference, canadian, day"
20,2,1,0.02182,"insurance, life, company, barclays, financial, united, assurance, investment, authority, society"
20,2,2,0.04519,"industrial, development, new, trade, industry, big, export, fair, centre, labour"
20,2,3,0.06533,"systems, computer, philips, information, data, technology, new, communications, ibm, power"
20,2,4,0.01995,"securities, incorporated, corporation, company, brothers, morgan, smith, lynch, merrill, boston"
20,2,5,0.06365,"products, engineering, production, steel, equipment, industry, power, plant, industrial, energy"
20,2,6,0.09582,"business, world, services, companies, global, company, market, new, countries, international"
20,2,7,0.02701,"limited, bank, international, banque, union, deutsche, aktiengesellschaft, company, girozentrale, credit"
20,2,8,0.06549,"time, people, like, just, make, know, way, help, good, want"
20,2,9,0.05666,"air, world, fly, new, airlines, service, travel, airline, american, flight"
20,2,10,0.05637,"time, free, available, price, cost, details, dow, card, prices, send"
20,2,11,0.02642,"hong, kong, singapore, asia, india, china, francisco, swiss, san, east"
20,2,12,0.07111,"bank, banking, new, london, york, japan, international, office, foreign, banks"
20,2,13,0.07659,"london, send, book, new, economic, address, post, street, times, free"
20,2,14,0.04249,"hotel, london, york, new, paris, hotels, city, frankfurt, sheraton, zurich"
20,2,15,0.0268,"europe, telex, germany, european, international, italy, spain, telephone, german, republic"
20,2,16,0.07536,"london, street, office, australia, limited, canada, new, south, house, head"
20,2,17,0.03601,"car, oil, gas, fuel, cars, new, engine, road, british, gulf"
20,2,18,0.05718,"year, million, profit, group, share, tax, capital, total, income, investment"
20,2,19,0.02812,"management, international, university, executive, business, program, school, development, education, mba"
