Brand_Key,Sector,Ads
(missing brand),Other / unclassified,2572
ibm,Technology & electronics,1048
barclays bank,Banking & finance,1012
shell,"Energy, industry & materials",678
hongkong shanghai banking,Banking & finance,628
union bank of switzerland,Banking & finance,616
philips,Technology & electronics,588
inter continental hotels,Air travel & hotels,568
air france,Air travel & hotels,555
bank of america,Banking & finance,526
siemens,Technology & electronics,518
mercedes benz,Autos & transport,511
lufthansa,Air travel & hotels,499
midland bank,Banking & finance,495
american express,Banking & finance,472
rolex,Luxury & consumer goods,469
hotel carlyle,Air travel & hotels,461
bmw,Autos & transport,452
royal bank of canada,Banking & finance,444
british airways,Air travel & hotels,442
twa,Air travel & hotels,430
lloyds bank,Banking & finance,423
swissair,Air travel & hotels,415
boeing,Autos & transport,414
klm,Air travel & hotels,410
international synthetic rubber isr,"Energy, industry & materials",401
singapore airlines,Air travel & hotels,399
alliance assurance,Banking & finance,388
boac,Air travel & hotels,386
cathay pacific,Air travel & hotels,378
bank of montreal,Banking & finance,377
sanwa bank,Banking & finance,368
credit suisse,Banking & finance,366
international labour office,"Government, trade & development",363
chartered bank of india australia china,Banking & finance,358
ford,Autos & transport,351
hitachi,Technology & electronics,341
pan am,Air travel & hotels,336
standard chartered,Banking & finance,336
patek philippe,Luxury & consumer goods,335
bankers trust,Banking & finance,329
bank of scotland,Banking & finance,325
oracle,Technology & electronics,317
hewlett packard hp,Technology & electronics,316
royal insurance,Banking & finance,305
refuge assurance,Banking & finance,303
bank of new zealand,Banking & finance,295
jaguar,Autos & transport,292
industrial bank of japan,Banking & finance,288
sumitomo,Banking & finance,283
standard bank of south africa,Banking & finance,280
imperial chemical industries ici,"Energy, industry & materials",279
financial times,Banking & finance,277
deutsche bank,Banking & finance,261
oxford university press,"Education, jobs & conferences",257
cable wireless,Other / unclassified,257
manufacturers hanover,Other / unclassified,254
lexus,Autos & transport,249
martins bank,Banking & finance,246
international management development institute imede,"Government, trade & development",245
basf,Other / unclassified,245
b e a,Other / unclassified,242
b p,Other / unclassified,241
sheraton hotels,Air travel & hotels,241
westlb,Other / unclassified,239
japan air lines,Air travel & hotels,238
merrill lynch,Banking & finance,236
falconbridge,Other / unclassified,236
economist conferences,"Education, jobs & conferences",235
ncr,Other / unclassified,231
omega,Luxury & consumer goods,230
intel,Technology & electronics,227
halifax,Other / unclassified,227
easibind,Other / unclassified,227
jpmorgan,Other / unclassified,224
commerzbank,Other / unclassified,223
toyota,Autos & transport,223
american airlines,Air travel & hotels,223
volvo,Autos & transport,222
vauxhall,Other / unclassified,221
burroughs,Other / unclassified,221
hilton international,Air travel & hotels,219
hsbc,Banking & finance,219
hmso,Other / unclassified,218
dunlop,Other / unclassified,217
mcdonnell douglas,Other / unclassified,217
accenture,Other / unclassified,217
equity law life assurance society,Banking & finance,215
microsoft,Technology & electronics,212
audi,Autos & transport,211
qantas,Air travel & hotels,210
time,Other / unclassified,209
westminster bank,Banking & finance,208
bank of new south wales,Banking & finance,208
commercial bank of australia,Banking & finance,206
swiss bank,Banking & finance,204
unisys,Other / unclassified,204
ericsson,Technology & electronics,202
first national city bank,Banking & finance,202
fujitsu,Technology & electronics,202
sas,Other / unclassified,201
fuji bank,Banking & finance,201
esso,"Energy, industry & materials",199
citibank,Banking & finance,198
sabena,Air travel & hotels,195
mitsubishi bank,Banking & finance,195
coventry climax,Other / unclassified,194
mandarin oriental,Other / unclassified,192
long term credit bank of japan,Banking & finance,187
j carvel lange international,Other / unclassified,187
business international,Other / unclassified,186
renault,Autos & transport,185
hawker siddeley group,Other / unclassified,184
chase manhattan bank,Banking & finance,182
atlas copco,Other / unclassified,180
rank xerox,Technology & electronics,176
canon,Other / unclassified,176
compaq,Other / unclassified,175
nippon kangyo bank,Banking & finance,175
daiwa bank,Banking & finance,175
cast,Other / unclassified,173
fiat,Autos & transport,173
samsung,Technology & electronics,172
taylor woodrow,Other / unclassified,172
bank of nova scotia,Banking & finance,172
saab,Autos & transport,170
toshiba,Technology & electronics,169
audemars piguet,Other / unclassified,168
catesbys,Other / unclassified,165
chemical bank,Banking & finance,165
international computers tabulators ict,Technology & electronics,162
royal mail,Other / unclassified,162
kuwait airways,Air travel & hotels,162
simon engineering group,"Energy, industry & materials",161
british gas,"Energy, industry & materials",161
four seasons hotels resorts,Air travel & hotels,161
imi,Other / unclassified,160
societe generale,Other / unclassified,160
ferranti,Other / unclassified,160
imd,Other / unclassified,158
iberia,Air travel & hotels,158
ups,Other / unclassified,158
mullard,Other / unclassified,157
national bank,Banking & finance,157
alitalia,Air travel & hotels,156
times,Media & publishing (incl. The Economist),156
emirates,Air travel & hotels,155
mercantile bank of india,Banking & finance,155
pia,Other / unclassified,155
swiss life,Other / unclassified,154
blancpain,Other / unclassified,152
air canada,Air travel & hotels,148
abbey national building society,Other / unclassified,148
nokia,Technology & electronics,148
english electric,"Energy, industry & materials",147
temperance permanent building society,Other / unclassified,147
rover,Autos & transport,146
henry gardner,Other / unclassified,144
continental bank,Banking & finance,144
zurich,Banking & finance,143
hoechst,Other / unclassified,142
olivetti,Technology & electronics,141
bt,Other / unclassified,141
canada,Other / unclassified,140
digital,Technology & electronics,139
toronto dominion bank,Banking & finance,139
airbus,Autos & transport,139
royal bank of scotland,Banking & finance,139
christiania bank og kreditkasse oslo,Banking & finance,138
chase,Banking & finance,138
saitama bank,Banking & finance,138
thai airways,Air travel & hotels,138
at t,Other / unclassified,138
asprey,Other / unclassified,137
ici,"Energy, industry & materials",137
ilo,Other / unclassified,136
vodafone,Other / unclassified,135
british steel,"Energy, industry & materials",135
malaysia airlines,Air travel & hotels,135
canadian imperial bank of commerce,Banking & finance,134
arab bank,Banking & finance,134
commercial union assurance,Banking & finance,134
national bank of australasia,Banking & finance,132
banque nationale de paris bnp,Banking & finance,132
london business school,"Education, jobs & conferences",131
bayerische vereinsbank,Other / unclassified,131
airbus industrie,Autos & transport,131
commonwealth trading bank of australia,Banking & finance,130
lansing bagnall,Other / unclassified,130
lockheed,Other / unclassified,130
orange,Other / unclassified,128
bicc,Other / unclassified,128
costain,Other / unclassified,128
trade development bank,Banking & finance,128
laing,Other / unclassified,128
albright wilson,Other / unclassified,127
alfa romeo,Other / unclassified,127
dg bank,Banking & finance,126
glyn mills,Other / unclassified,126
itt,Other / unclassified,125
dhl,Autos & transport,125
bank of london south america,Banking & finance,124
haig,Other / unclassified,124
hanover bank,Banking & finance,124
morgan stanley,Banking & finance,124
sheraton,Air travel & hotels,123
mitsui bank,Banking & finance,123
kellogg,Other / unclassified,122
dsm,Other / unclassified,122
marconi,Other / unclassified,122
chiyoda,Other / unclassified,121
international business machines,Other / unclassified,121
national provincial bank,Banking & finance,121
gulf air,Air travel & hotels,120
snamprogetti,Other / unclassified,120
standard life assurance,Banking & finance,119
chevron,"Energy, industry & materials",118
dodwell,Other / unclassified,118
glenfiddich,Other / unclassified,117
vulcan boiler general insurance,Banking & finance,117
lancia,Other / unclassified,117
hertz,Other / unclassified,117
aig,Other / unclassified,117
visa,Banking & finance,117
ing,Other / unclassified,116
aei,Other / unclassified,114
tokai bank,Banking & finance,114
b w blydenstein,Other / unclassified,114
essec,Other / unclassified,113
ihi,Other / unclassified,113
daily mirror,Other / unclassified,113
dictaphone,Other / unclassified,113
general accident fire life assurance,Banking & finance,112
turkish airlines,Air travel & hotels,112
bank of tokyo,Banking & finance,112
national grindlays bank,Banking & finance,111
northern telecom,Technology & electronics,111
national bank of egypt,Banking & finance,111
skf,Other / unclassified,111
mazda,Other / unclassified,110
abn amro,Other / unclassified,109
databank,Other / unclassified,109
credit lyonnais,Banking & finance,109
austrian airlines,Air travel & hotels,108
air india,Air travel & hotels,108
girozentrale,Banking & finance,108
university of london,"Education, jobs & conferences",107
jebel ali free zone authority dubai,"Government, trade & development",107
intercity,Other / unclassified,107
drambuie,Other / unclassified,106
national provident institution,Other / unclassified,106
hyundai,Other / unclassified,105
bank of new york,Banking & finance,105
royal exchange assurance,Banking & finance,105
tube investments,Banking & finance,105
dry fly sherry,Other / unclassified,104
varig,Other / unclassified,104
girozentrale vienna,Banking & finance,104
morgan guaranty trust,Banking & finance,103
motorola,Technology & electronics,103
creditanstalt,Other / unclassified,103
halifax building society,Other / unclassified,102
kleinwort benson,Other / unclassified,102
british aerospace,Other / unclassified,102
australia new zealand bank,Banking & finance,101
insead,Other / unclassified,101
cartier,Luxury & consumer goods,101
industrial commercial finance icfc,Banking & finance,100
easton press,Media & publishing (incl. The Economist),100
macmillan,Other / unclassified,100
bayerische landesbank,Other / unclassified,99
fuji iron steel,"Energy, industry & materials",99
grindlays bank group,Banking & finance,99
economist intelligence unit,Media & publishing (incl. The Economist),99
benson hedges,Other / unclassified,98
marine midland bank,Banking & finance,98
europcar,Other / unclassified,98
honeywell,Other / unclassified,98
coutts,Other / unclassified,97
bayer,Other / unclassified,97
bahrain,Other / unclassified,96
northern ireland,Other / unclassified,96
pierre,Other / unclassified,96
irving trust,Banking & finance,96
pye,Other / unclassified,96
south african airways,Air travel & hotels,95
iran air,Air travel & hotels,95
credito italiano,Other / unclassified,95
united airlines,Air travel & hotels,94
dresdner bank,Banking & finance,94
sunday times,Media & publishing (incl. The Economist),94
gulf,"Energy, industry & materials",94
dow,Other / unclassified,94
remy martin,Other / unclassified,93
lucent technologies,Technology & electronics,93
dunhill,Luxury & consumer goods,93
wolsey hall oxford,Other / unclassified,93
louis vuitton,Other / unclassified,93
sony,Technology & electronics,93
prudential,Banking & finance,92
land rover,Autos & transport,92
data general,Technology & electronics,92
carbon trust,Banking & finance,92
united technologies,Technology & electronics,92
international harvester,Other / unclassified,91
infonet,Other / unclassified,91
metropolitan college,"Education, jobs & conferences",91
anz bank,Banking & finance,91
pfizer,Other / unclassified,90
ricoh,Other / unclassified,90
rolls royce,Autos & transport,90
martell,Other / unclassified,89
caltex,Other / unclassified,89
bank melli iran,Banking & finance,89
chubb,Other / unclassified,88
dell,Other / unclassified,88
soundview executive book summaries,Other / unclassified,88
morgan stanley dean witter,Banking & finance,88
autonomy,Other / unclassified,88
bank of kobe,Banking & finance,87
ciba,Other / unclassified,87
richard ellis,Other / unclassified,87
johnnie walker scotch whisky,Luxury & consumer goods,87
corum,Other / unclassified,87
reuters,Other / unclassified,86
scandinavian airlines,Air travel & hotels,86
national bank of scotland,Banking & finance,86
canadian pacific,Other / unclassified,85
salomon brothers,Other / unclassified,84
avis,Other / unclassified,84
cleveland,Other / unclassified,84
national bank of india,Banking & finance,84
mitsui group,Other / unclassified,84
british iron steel federation,"Energy, industry & materials",84
british bank of middle east,Banking & finance,84
hughes,Other / unclassified,83
alcatel,Other / unclassified,83
xerox,Technology & electronics,83
mitsubishi shoji kaisha,Other / unclassified,83
darden university of virginia,"Education, jobs & conferences",83
national city bank of new york,Banking & finance,82
university of chicago,"Education, jobs & conferences",82
national bank of kuwait s a k,Banking & finance,82
british railways,Autos & transport,82
willabee ward,Other / unclassified,81
goldman sachs,Banking & finance,81
ghana airways,Air travel & hotels,81
santander,Other / unclassified,81
glaser designs,Other / unclassified,80
abb,Other / unclassified,80
delta metal,Other / unclassified,80
europa publications,Media & publishing (incl. The Economist),80
allied chemical,"Energy, industry & materials",79
cunard,Other / unclassified,79
plessey,Other / unclassified,79
bank of adelaide,Banking & finance,79
virgin atlantic,Other / unclassified,79
first national bank of boston,Banking & finance,79
breitling,Other / unclassified,79
abbey national,Other / unclassified,79
fibreglass,Other / unclassified,78
henry ansbacher,Other / unclassified,78
lucky goldstar,Other / unclassified,78
security pacific bank,Banking & finance,78
grundig,Other / unclassified,78
natwest,Other / unclassified,78
united commercial bank,Banking & finance,77
panasonic,Technology & electronics,77
goldman sachs international,Banking & finance,77
international trade fairs made in germany,"Government, trade & development",77
delta air lines,Air travel & hotels,77
oecd,Other / unclassified,77
sas scandinavian airlines,Air travel & hotels,77
wells fargo bank,Banking & finance,77
thames board mills,"Government, trade & development",77
bank julius baer,Banking & finance,76
london assurance,Banking & finance,76
holiday inn,Other / unclassified,76
ebic european banks international,Banking & finance,76
cadbury,Other / unclassified,76
nichimen,Other / unclassified,76
allianz,Banking & finance,76
nissan,Autos & transport,76
m a n,Other / unclassified,75
price waterhouse,Other / unclassified,75
volkswagen,Autos & transport,75
british aluminium,"Energy, industry & materials",75
chase national bank,Banking & finance,75
singapore,Other / unclassified,75
district bank,Banking & finance,75
children s society,Other / unclassified,75
rnli,Other / unclassified,74
samuel montagu,Other / unclassified,74
life offices association,Other / unclassified,74
remington rand,Other / unclassified,74
british caledonian,Other / unclassified,74
mobil,"Energy, industry & materials",74
white horse,Other / unclassified,74
hokkaido takushoku bank,Banking & finance,74
p o,Other / unclassified,74
export credits guarantee department ecgd,"Government, trade & development",74
corby works,Other / unclassified,74
marketing in europe,Other / unclassified,74
c itoh,Other / unclassified,74
national airlines,Air travel & hotels,74
moss bros,Other / unclassified,73
schweppes,Other / unclassified,73
mitsubishi electric,"Energy, industry & materials",73
nec,Technology & electronics,73
state street,Other / unclassified,73
courvoisier,Other / unclassified,73
messe frankfurt,Other / unclassified,72
chicago mercantile exchange,Banking & finance,72
monsanto,Other / unclassified,72
nissho iwai,Other / unclassified,72
bank of australasia,Banking & finance,72
mas malaysian airlines,Air travel & hotels,72
welsh development agency,"Government, trade & development",71
saab scania,Autos & transport,71
scotiabank,Other / unclassified,71
glenfield,Other / unclassified,71
first boston,Other / unclassified,71
o w roskill reports,Other / unclassified,71
kodak,Other / unclassified,71
bermuda,Other / unclassified,71
middle east airlines mea,Air travel & hotels,71
norwich union,Other / unclassified,71
shangri la hotels resorts,Air travel & hotels,71
canadian bank of commerce,Banking & finance,71
jal japan airlines,Air travel & hotels,71
manchester guardian,Other / unclassified,71
bowaters,Other / unclassified,70
hugo boss,Other / unclassified,70
ishikawajima harima heavy industries ihi,"Energy, industry & materials",70
murray watson,Other / unclassified,70
peugeot,Autos & transport,70
dai ichi bank,Banking & finance,70
rabobank,Other / unclassified,69
mond nickel,Other / unclassified,69
computer associates,Technology & electronics,69
metal box,Other / unclassified,69
guinness mahon,Other / unclassified,69
scottish widows fund,Banking & finance,69
kawasaki steel,"Energy, industry & materials",69
portugal,Other / unclassified,69
aer lingus,Other / unclassified,68
ida ireland industrial development authority,"Energy, industry & materials",68
den norske creditbank,Other / unclassified,68
lockheed martin,Other / unclassified,68
jones lang wootton,Other / unclassified,68
rtz,Other / unclassified,68
huawei,Other / unclassified,68
sun microsystems,Other / unclassified,67
united california bank,Banking & finance,67
taiwan,Other / unclassified,67
pioneer,Other / unclassified,67
healey baker,Other / unclassified,67
debrett,Other / unclassified,67
caterpillar,Other / unclassified,67
daily telegraph,Technology & electronics,66
ontario canada,Other / unclassified,66
peninsula group,Other / unclassified,66
andersen consulting,Other / unclassified,66
drivers jonas,Other / unclassified,66
espana,Other / unclassified,66
pictet,Other / unclassified,66
hmso books,Media & publishing (incl. The Economist),65
bland payne,Other / unclassified,65
guinness flight,Other / unclassified,65
head wrightson,Other / unclassified,65
philadelphia national bank,Banking & finance,65
european investment bank,Banking & finance,65
cnn,Other / unclassified,65
international acceptance bank,Banking & finance,65
star alliance,Other / unclassified,65
acrow,Other / unclassified,64
ballantine s,Other / unclassified,64
yorkshire insurance,Banking & finance,64
b a t industries,"Energy, industry & materials",64
france telecom,Technology & electronics,64
world press group,Media & publishing (incl. The Economist),64
pakistan international airlines,Air travel & hotels,64
williams glyn s bank,Banking & finance,64
komatsu,Other / unclassified,63
bank hapoalim b m,Banking & finance,63
merrill lynch pierce fenner smith,Banking & finance,63
mitsui,Other / unclassified,63
axa,Banking & finance,63
mifed,Other / unclassified,63
british american bank,Banking & finance,63
digital highlights,Technology & electronics,63
economist shop,Media & publishing (incl. The Economist),63
saa,Other / unclassified,62
wilmot breeden,Other / unclassified,62
bose,Other / unclassified,62
raytheon,Other / unclassified,62
saudia,Other / unclassified,62
intelligent life,Other / unclassified,62
city university,"Education, jobs & conferences",62
kellogg international,Other / unclassified,62
british nuclear fuels bnfl,Other / unclassified,62
estate duties investment trust,Banking & finance,61
life international editions,Other / unclassified,61
northrop,Other / unclassified,61
btr,Other / unclassified,61
british rail,Other / unclassified,61
wharton,Other / unclassified,61
harvard university,"Education, jobs & conferences",61
cambridge university press,"Education, jobs & conferences",61
diners club international,Other / unclassified,61
gillett brothers discount,Other / unclassified,61
commonwealth bank of australia,Banking & finance,61
national savings committee,Other / unclassified,60
south africa,Other / unclassified,60
cementation,Other / unclassified,60
university microfilms,"Education, jobs & conferences",60
three banks group,Banking & finance,60
turner newall,Other / unclassified,60
nomura,Banking & finance,60
austin,Other / unclassified,60
habib bank,Banking & finance,59
algemene bank nederland abn,Banking & finance,59
trans canada air lines,Air travel & hotels,59
hublot,Other / unclassified,59
wang,Other / unclassified,59
korean air,Air travel & hotels,59
gould electronics,Technology & electronics,58
bristol,Other / unclassified,58
espa a,Other / unclassified,58
siebel,Other / unclassified,58
european voice,Other / unclassified,58
tarmac,Other / unclassified,58
eastern bank,Banking & finance,58
sasebo heavy industries,"Energy, industry & materials",57
enpc,Other / unclassified,57
allen unwin,Other / unclassified,57
continental airlines,Air travel & hotels,57
fmc,Other / unclassified,57
newalls insulation,Other / unclassified,57
broken hill propietary bhp,Other / unclassified,57
arab petroleum investments,Banking & finance,57
polysar,Other / unclassified,57
northampton,Other / unclassified,56
eds,Other / unclassified,56
emery air freight,Air travel & hotels,56
acer,Other / unclassified,56
guinness,Other / unclassified,56
banco di napoli,Banking & finance,56
banco do brasil,Banking & finance,56
planelectric,Other / unclassified,56
monsanto chemicals,"Energy, industry & materials",56
noranda,Other / unclassified,55
coal,Other / unclassified,55
trw,Other / unclassified,55
olympic airways,Air travel & hotels,55
lotus,Other / unclassified,55
linde,Other / unclassified,55
