Year_Quarter,Ads,Distinct_Advertisers,Share_Long_Running,Recession,Year,Decade,Share: Banking & finance,Share: Air travel & hotels,Share: Autos & transport,Share: Technology & electronics,"Share: Energy, industry & materials","Share: Government, trade & development","Share: Education, jobs & conferences",Share: Media & publishing (incl. The Economist),Share: Luxury & consumer goods,Share: Other / unclassified,Ads_per_Advertiser
1948Q1,339,142,0.55457,0,1948,1940s,0.46018,0.0472,0.00295,0.0059,0.0236,0.0118,0.0118,0.02655,0.00885,0.40118,2.38732
1948Q2,385,187,0.52468,0,1948,1940s,0.38961,0.03117,0.00779,0.0026,0.03117,0.01039,0.01818,0.00779,0.01558,0.48571,2.05882
1948Q3,388,167,0.50258,0,1948,1940s,0.41495,0.05412,0.0,0.0,0.02835,0.02062,0.01804,0.01804,0.0232,0.42268,2.32335
1948Q4,478,209,0.48117,0,1948,1940s,0.41423,0.04812,0.01046,0.0,0.03766,0.00837,0.0251,0.01674,0.01464,0.42469,2.28708
1949Q1,462,219,0.5368,1,1949,1940s,0.38528,0.04113,0.00866,0.01082,0.05195,0.02165,0.05411,0.01732,0.00433,0.40476,2.10959
1949Q2,473,217,0.52431,1,1949,1940s,0.37844,0.05285,0.00634,0.01057,0.06342,0.01691,0.03594,0.02748,0.00634,0.40169,2.17972
1949Q3,471,213,0.47983,1,1949,1940s,0.32909,0.03185,0.0,0.00849,0.06582,0.01274,0.0552,0.01911,0.00849,0.46921,2.21127
1949Q4,619,276,0.4685,0,1949,1940s,0.36187,0.02262,0.00162,0.00808,0.05816,0.01777,0.02908,0.02746,0.01131,0.46204,2.24275
1950Q1,515,221,0.56117,0,1950,1950s,0.38835,0.02913,0.00388,0.01165,0.04854,0.01165,0.02136,0.01359,0.00777,0.46408,2.33032
1950Q2,570,218,0.53684,0,1950,1950s,0.38947,0.04211,0.00175,0.00526,0.05789,0.01053,0.06316,0.00702,0.00702,0.41579,2.61468
1950Q3,290,154,0.48966,0,1950,1950s,0.32414,0.03448,0.0,0.01379,0.06897,0.01724,0.01034,0.0069,0.0069,0.51724,1.88312
1950Q4,537,238,0.54562,0,1950,1950s,0.40037,0.02235,0.00186,0.01117,0.05959,0.0,0.02421,0.02048,0.01862,0.44134,2.2563
1951Q1,622,273,0.51125,0,1951,1950s,0.34887,0.02251,0.00482,0.00804,0.04823,0.01447,0.04502,0.01286,0.00965,0.48553,2.27839
1951Q2,623,269,0.50722,0,1951,1950s,0.34029,0.0321,0.00482,0.01605,0.05778,0.01605,0.03371,0.00642,0.00482,0.48796,2.31599
1951Q3,603,263,0.53897,0,1951,1950s,0.36982,0.01493,0.00498,0.01824,0.05307,0.00498,0.0199,0.00829,0.00995,0.49585,2.29278
1951Q4,738,335,0.48645,0,1951,1950s,0.27507,0.02575,0.01762,0.01491,0.0542,0.01084,0.03794,0.01626,0.05149,0.49593,2.20299
1952Q1,489,224,0.52761,0,1952,1950s,0.24949,0.03272,0.01022,0.02249,0.07566,0.00818,0.00613,0.01227,0.00409,0.57873,2.18304
1952Q2,615,283,0.5187,0,1952,1950s,0.25691,0.03089,0.01138,0.02602,0.05366,0.01301,0.01301,0.02602,0.00813,0.56098,2.17314
1952Q3,539,273,0.50093,0,1952,1950s,0.26531,0.01855,0.00742,0.00742,0.06494,0.00928,0.04267,0.01299,0.01299,0.55844,1.97436
1952Q4,690,338,0.55652,0,1952,1950s,0.27101,0.03768,0.01594,0.0058,0.03478,0.01449,0.01884,0.01449,0.01304,0.57391,2.04142
1953Q1,581,298,0.50086,0,1953,1950s,0.24441,0.0241,0.01549,0.0,0.04131,0.01721,0.04819,0.01205,0.00344,0.5938,1.94966
1953Q2,607,321,0.514,0,1953,1950s,0.24217,0.01977,0.01153,0.00824,0.05272,0.01812,0.02965,0.00494,0.00659,0.60626,1.89097
1953Q3,554,304,0.45848,1,1953,1950s,0.23646,0.01444,0.00903,0.0,0.06318,0.01083,0.02888,0.00361,0.00361,0.62996,1.82237
1953Q4,738,391,0.47561,1,1953,1950s,0.21545,0.02033,0.02439,0.02304,0.05556,0.01084,0.02033,0.00407,0.01084,0.61518,1.88747
